Date,GOLDBEES.NS,MON100.NS,INDIGRID.NS,BIRET.NS,NXST.NS,FORTIS.NS,SILVERBEES.NS,SIKA.NS,WELCORP.NS,SARDAEN.NS,FCL.NS,AUBANK.NS,MARKSANS.NS,KINGFA.NS,BAJFINANCE.NS,MOTILALOFS.NS,HNDFDS.NS,VBL.NS,TI.NS,INDNIPPON.NS,DIXON.NS,TAJGVK.NS,INDIAMART.NS,PRICOLLTD.NS,INDUSTOWER.NS,KSCL.NS,WAAREERTL.NS,CANTABIL.NS,SRF.NS,INTERARCH.NS,EPIGRAL.NS,BALKRISIND.NS
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,0.0009645688862645052,-0.008161166225428063,-0.0039167388934499,,,-0.016835978903079085,,0.009926985076920136,-0.020180081426121044,-0.017300715532595823,0.0,-0.002187380192211652,-0.007509466238919238,0.02142160115539249,-0.0005794220378659842,-0.019187035871854774,,0.07171197092298454,-0.009456312189802585,-0.004286057638584806,-0.012047675648088285,0.007627072304529303,,0.03641955581140133,0.023922163745723424,-0.014433034702816983,0.10136439481261572,-0.019323678534547195,-0.011030658174955854,,,-0.018570398911633035
2018-01-03,5.665498992435403e-05,-0.009936489523429404,0.001169077756215886,,,0.05492725240799379,,0.07400992778024684,0.04670831701828093,0.020306035459304317,0.0,0.012624707150113545,0.010088281226926954,0.0049096135864599155,-0.0054214909427126035,0.017155810674124305,,0.00868454988015177,0.02147966199991025,0.0006411903432927968,0.015312744144281298,0.0022427352121554556,,0.13844201046513405,-0.00039585359327254377,-0.00500507008498996,0.0,0.020152231285307076,-0.012387529036439138,,,0.013466658860038283
2018-01-04,-0.0024940477790735827,-0.0003787568684295861,0.0010611787454593014,,,0.004900594642228473,,0.033647342847324735,0.017568614852131903,0.02401953119592859,0.0,0.007838753199161053,0.004993713242908537,-0.010133297338225211,0.02256145713851998,0.010612955986843087,,-0.029992980774552036,-0.025700864166836146,-0.004622400850524899,-0.01739118624681757,0.010909238419886114,,-0.031238380392789922,0.0010562441910089149,-0.004378271384234855,0.01946907459429914,-0.009218525027430813,0.006765709075331028,,,0.01366672680396075
2018-01-05,0.0016100863968184775,0.004483293175031822,-0.0032870892152013775,,,-0.004571750338103087,,0.09348963174304692,0.05110472690993895,-0.019913639441267894,0.0,0.03622230817164107,0.03726709041506426,0.001645313251798619,0.03449273195274505,0.0542808888037678,,0.024954444394499342,0.04796150419817713,-0.0026206172841214403,-0.014342997014671566,0.0038737014037120154,,0.0184260472258313,-0.017016103114103842,0.008233393705027181,-0.013020783358598353,0.03810376400749105,0.010468445523195147,,,0.004479897889876572
2018-01-08,0.001172493291510257,0.005804338154055122,-0.00010646683847792549,,,0.001224632297664563,,0.04596325774648591,0.015768899118994373,0.0177786011407568,0.0,0.017942471167619933,0.05868260563391514,-0.0057185282101397394,0.01231745506553028,-0.011483730950929694,,-0.007595163984322806,0.0045767265810834346,-0.014566878545373307,0.0036748141558227143,0.027012219772859725,,-0.006030890272960443,0.004830936481312165,-0.0013918348724374363,-0.04925238858624059,0.006828777761530569,-0.0007163025999911143,,,-0.006525051685518535
2018-01-09,0.0025877338547470874,-0.0003124872843424109,0.001063968161907125,,,0.012843944334236523,,-0.045992844072202055,0.00452794892660946,0.13523368718565365,0.0,-0.017696561445183057,0.0147059514135639,0.00012239131048663587,-0.009445516350088945,-0.012226802198867515,,-0.016450753497521342,-0.047835994075437926,0.015577513177019942,-0.008216687691952496,-0.02039729169790061,,-0.008722064240875849,-0.016025702453751567,-0.010222315510010516,0.02960223149132557,0.02416290281360589,0.0010753048629030815,,,-0.0218239656937651
2018-01-10,-0.0007347234409118553,-0.0034177651924083285,-0.0019126398910627174,,,-0.01902165043891335,,-0.055847142641452074,0.009658457126668907,-0.0021982491279790572,0.0,0.00021440698980845774,0.0356744138973899,-0.0003670541043441222,-0.00950803060521399,0.0032815131128756114,,-0.013162830212028687,0.0,0.009995202218439303,-0.005630168602857588,0.0021919065886966127,,-0.015684735708708764,0.006514683358585627,-0.011360382365237287,0.049415936001038,0.04842703823721495,-0.00795267866515903,,,-0.008584572110562627
2018-01-11,0.003714221436125431,-0.026411001669752743,0.0014904368976111915,,,-0.08341024971381439,,0.032103153134150686,0.00924767783741176,-0.0164378191384722,0.0,0.014295069362485036,0.049515632503952745,0.008384283506678525,-0.012124115178398731,0.013729930951389191,,-0.000810593125154635,0.0023923796509053297,0.0787615386636491,-0.03130273464768851,0.0041004533656165965,,0.0007773173893577123,-0.008225444228062373,0.000474885797694391,0.03082202098179465,-0.011843593578076739,-0.0013405182268915183,,,-0.007373023109026655
2018-01-12,0.006180001602235974,0.02431375922785106,-0.0005316446459135982,,,-0.028542825375277747,,0.19985299574133175,0.07740911187031907,0.05530663653440615,0.0,-0.00613067631716302,-0.03487184612215666,0.19997574904181215,-0.005757350182746368,-0.014374697880429443,,0.0005900359289039425,-0.02863967149161828,-4.2168681998466795e-05,-0.014381908644485852,-0.02014698909757151,,-0.02524271791926569,0.019170734018859825,-0.002562749189806479,-0.03903669455768943,-0.028765558654708645,0.03662512956081354,,,0.0005616277091533561
