Date,full
2024-08-27,0.00027212508331398485
2024-08-28,-0.00016180651440661346
2024-08-29,-0.0040965365458415755
2024-08-30,0.0069705634073413065
2024-09-02,-0.004718390519403024
2024-09-03,0.004244214624156275
2024-09-04,-0.0016260910102833287
2024-09-05,0.005813450106381593
2024-09-06,-0.005121576849737123
2024-09-09,-0.0022147000696927837
2024-09-10,0.01325817545060079
2024-09-11,0.0036860453459455884
2024-09-12,0.00398664982361555
2024-09-13,0.008156666844305127
2024-09-16,0.006326592922965997
2024-09-17,0.001935973974127632
2024-09-18,-0.0058795969321781055
2024-09-19,0.0006192696668936085
2024-09-20,0.010609383924183402
2024-09-23,0.009403251508542739
2024-09-24,0.0038933008622498606
2024-09-25,0.00242523571115594
2024-09-26,0.0007623888963550375
2024-09-27,-0.0018305444650128368
2024-09-30,0.0018897880356393056
2024-10-01,-0.0003162638635296705
2024-10-03,-0.00809140509808298
2024-10-04,-0.003750539678515909
2024-10-07,-0.01431252839239232
2024-10-08,0.012584563337318489
2024-10-09,0.005303996428283782
2024-10-10,0.001585525993475307
2024-10-11,0.003847082836624771
2024-10-14,0.006586969930481986
2024-10-15,0.005173474046259414
2024-10-16,0.0022423215108818353
2024-10-17,-0.007210050310189259
2024-10-18,0.006312876930823184
2024-10-21,-0.005850903028035879
2024-10-22,-0.016152764040498455
2024-10-23,0.010743780463954484
2024-10-24,-0.0067418077780114355
2024-10-25,-0.013231992110390247
2024-10-28,0.009779999715853891
2024-10-29,0.006164314431400214
2024-10-30,0.006056139079553164
2024-10-31,0.005664862315973927
2024-11-01,0.004904880451908956
2024-11-04,-0.01202959950980165
2024-11-05,0.0040000822933694835
2024-11-06,0.009307766179992984
2024-11-07,-0.006096024353529614
2024-11-08,-0.003385105637464774
2024-11-11,-0.0053769681684168865
2024-11-12,-0.01214365643581668
2024-11-13,-0.014563067453563
2024-11-14,-0.0008937545888977768
2024-11-18,0.0009198614115409099
2024-11-19,0.006458083724533422
2024-11-21,0.0022128575150478173
2024-11-22,0.008183257046268436
2024-11-25,0.010371715947104019
2024-11-26,-0.0036989621200990705
2024-11-27,0.005004344898570014
2024-11-28,0.0009458775932268068
2024-11-29,0.00703380157865014
2024-12-02,0.0032894601058606897
2024-12-03,0.007102505838544426
2024-12-04,0.0026801442560620637
2024-12-05,7.632622269923019e-05
2024-12-06,0.0015234462124340165
2024-12-09,0.007005521966151588
2024-12-10,0.003706562849413515
2024-12-11,0.0023091968651479514
2024-12-12,0.0033137542194446143
2024-12-13,-0.0044660825136196396
2024-12-16,0.0009060137900780156
2024-12-17,-0.0019115947686382498
2024-12-18,-0.0025495760944664915
2024-12-19,-0.004711784299699668
2024-12-20,-0.012754750861688015
2024-12-23,0.00622639005475041
2024-12-24,0.003388407823713012
2024-12-26,-0.0020698704231317264
2024-12-27,0.003446538832742975
2024-12-30,0.0004806435992617421
2024-12-31,0.0021870289382780366
2025-01-01,0.005325751965336684
2025-01-02,0.007477711748035585
2025-01-03,0.005034356598313799
2025-01-06,-0.018456476072930852
2025-01-07,0.012529395084276631
2025-01-08,-0.006228799416329031
2025-01-09,-0.0021296468222212544
2025-01-10,-0.008782173096485988
2025-01-13,-0.025567686835637413
2025-01-14,0.013062152566448049
2025-01-15,0.0038989077928002188
2025-01-16,0.009829819588990778
2025-01-17,0.001225673463657465
2025-01-20,0.00822969150776048
2025-01-21,-0.010066128200857137
2025-01-22,-0.00022061799719582222
2025-01-23,0.0010832021251988974
2025-01-24,-0.0029862674080386076
2025-01-27,-0.02057448650434859
2025-01-28,-0.003558883001453214
2025-01-29,0.02017637481839828
2025-01-30,0.001158407595191252
2025-01-31,0.010609200695941064
2025-02-01,0.0029884345385706927
2025-02-03,0.001665012706629485
2025-02-04,0.012184350471385365
2025-02-05,0.014265929558759561
2025-02-06,-0.0035492239642861204
2025-02-07,-0.0015590252850806055
2025-02-10,-0.0085622982436718
2025-02-11,-0.01478634679971253
2025-02-12,-0.004487459941933343
2025-02-13,0.004120152618142388
2025-02-14,-0.014566363751022673
2025-02-17,-0.0011325432926146488
2025-02-18,-0.0068542992157727255
2025-02-19,0.016608045459157218
2025-02-20,0.007333818410322863
2025-02-21,-0.0055182034247813275
2025-02-24,-0.00398973035651485
2025-02-25,-0.0038147134603167022
2025-02-27,-0.00806065275862862
2025-02-28,-0.016210907295596017
2025-03-03,-0.002716639681530396
2025-03-04,0.008825182327139679
2025-03-05,0.011320265970128201
2025-03-06,0.006440683934173258
2025-03-07,0.0013758658594104642
2025-03-10,-0.007192401164926281
2025-03-11,-0.0026707683973117287
2025-03-12,-0.0004539186820204683
2025-03-13,-0.000593541029401874
2025-03-17,0.006791432881191359
2025-03-18,-0.0006568562906880671
2025-03-19,0.016995983413277942
2025-03-20,0.00947264608923868
2025-03-21,0.0011042704723303923
2025-03-24,0.003645268566645982
2025-03-25,-0.005502725761017532
2025-03-26,-0.00242561827360723
2025-03-27,0.009173549796799364
2025-03-28,0.00019725321470504656
2025-04-01,0.0075133966678870455
2025-04-02,0.001400328028381894
2025-04-03,0.0024802704021529617
2025-04-04,-0.02078323079103461
2025-04-07,-0.0292031559004748
2025-04-08,0.009264558133133432
2025-04-09,-0.0011704221602051165
2025-04-11,0.030867474104548098
2025-04-15,0.014491314750738454
2025-04-16,0.009422581547648022
2025-04-17,0.003860884397822058
2025-04-21,0.013764396820791136
2025-04-22,0.011840064290770249
2025-04-23,-0.0019119517578492322
2025-04-24,-0.000496696321735801
2025-04-25,-0.015580692509261874
2025-04-28,0.0011154031061192087
2025-04-29,0.002807076316872814
2025-04-30,-0.011117347229958302
2025-05-02,-0.003616454744548025
2025-05-05,0.010011564976304042
2025-05-06,-0.001556347903809885
2025-05-07,0.0029142813971914003
2025-05-08,-0.005669096596094084
2025-05-09,-0.0010802743928903314
2025-05-12,0.011932894929606551
2025-05-13,0.006920831637175665
2025-05-14,0.0005249013994542144
2025-05-15,0.0021652259465189247
2025-05-16,0.00818530455449897
2025-05-19,0.005084326337067105
2025-05-20,-0.005085718140888631
2025-05-21,0.0033078380298180387
2025-05-22,0.004624923905628808
2025-05-23,0.0008385866132191186
2025-05-26,0.0009630482477589173
2025-05-27,-0.00046428939882354494
2025-05-28,0.005472159316713698
2025-05-29,0.0009958392134925367
2025-05-30,0.002837877055926169
2025-06-02,0.002808243722266181
2025-06-03,0.006365214118514472
2025-06-04,0.011275679855709268
2025-06-05,0.009550657493319833
2025-06-06,0.0004823953813258896
2025-06-09,0.0006992955238018623
2025-06-10,0.004099652061566929
2025-06-11,0.0012929627140185658
2025-06-12,-0.0031731179442187666
2025-06-13,0.0036178105146889637
2025-06-16,0.0024374245519717093
2025-06-17,-0.002706057806377602
2025-06-18,0.0037544533134713344
2025-06-19,-0.006839002877978455
2025-06-20,0.0007259492242817154
2025-06-23,0.0038575496791317682
2025-06-24,-0.0034445685011873146
2025-06-25,0.004275587744181219
2025-06-26,0.0034422928332103683
2025-06-27,-0.002000322146017328
2025-06-30,0.0031932290342532063
2025-07-01,0.0038063161013107594
2025-07-02,-0.000414717445370851
2025-07-03,0.0019687877865276118
2025-07-04,0.00046812382740467806
2025-07-07,0.001039583825769956
2025-07-08,-6.4903673763794944e-06
2025-07-09,0.0002721233603644106
2025-07-10,0.0007868598579250907
2025-07-11,-0.00041388373715093375
2025-07-14,0.0022491778536435805
2025-07-15,0.004669623161686566
2025-07-16,0.0016775861369490936
2025-07-17,0.0033166468142915213
2025-07-18,0.00025171236408822215
2025-07-21,0.0026164360359323623
2025-07-22,0.004616674926898981
2025-07-23,0.005483408497714289
2025-07-24,-0.005230497817777675
2025-07-25,-0.007268539209606295
2025-07-28,-0.004248354000282496
2025-07-29,0.011360695355029251
2025-07-30,0.003925455490988389
2025-07-31,-0.0050188693131335
2025-08-01,-0.007120401218218302
2025-08-04,0.008453587626765931
2025-08-05,0.003385540280101536
2025-08-06,-0.005096009690817509
2025-08-07,0.0024714764316234807
2025-08-08,-0.0019981986970379934
2025-08-11,-0.0006311258423311922
2025-08-12,-0.0026783666326936455
2025-08-13,0.008083614494932943
2025-08-14,-0.0012833297153712492
2025-08-18,0.00797138690151829
2025-08-19,0.003274503396583266
2025-08-20,-0.00036916442850891884
2025-08-21,-0.00010281788716670512
2025-08-22,9.734071313389689e-05
2025-08-25,-0.0006392529102353941
2025-08-26,-0.005855192664376167
2025-08-28,-0.0012861966671793876
2025-08-29,0.0050377033269985005
2025-09-01,0.009828930836217624
2025-09-02,-0.00168274651670824
2025-09-03,0.008537224606427418
2025-09-04,-0.001600691235351778
2025-09-05,0.0015801332724186276
2025-09-08,0.007366679023425905
2025-09-09,0.0079276229449873
2025-09-10,0.0020412279731840265
2025-09-11,0.0030434700097991953
2025-09-12,0.0024903247167248166
2025-09-15,0.008713889730116836
2025-09-16,0.008300446592464943
2025-09-17,-0.004721400454723861
2025-09-18,0.0005098488874146045
2025-09-19,-0.0008320714285458884
2025-09-22,0.008538066342798764
2025-09-23,0.005570836437410891
2025-09-24,-0.004247988198791151
2025-09-25,-0.001546795586065923
2025-09-26,-0.005087446465409291
2025-09-29,0.008311259666757697
2025-09-30,-0.0026976381712027794
2025-10-01,0.012696823740679836
2025-10-03,0.005531522012771207
2025-10-06,0.014117416639880448
2025-10-07,0.005291771315085462
2025-10-08,0.0026093431841582287
2025-10-09,-0.00048057821829057
2025-10-10,-0.000844418566844389
2025-10-13,0.004327735685516536
2025-10-14,0.004376296764287712
