Date,long
2018-01-02,0.0002902790534307808
2018-01-03,0.009773128461777504
2018-01-04,0.0011551572796256937
2018-01-05,0.010070126582943838
2018-01-08,0.004682026447870175
2018-01-09,0.002097325748741752
2018-01-10,-0.0013075473461291575
2018-01-11,-0.0003728100656535504
2018-01-12,0.014968944657029495
2018-01-15,0.012952021161912268
2018-01-16,-0.012572726639656615
2018-01-17,0.004337032757021598
2018-01-18,-0.012423303245430681
2018-01-19,0.007184305745595755
2018-01-22,0.008956870072816038
2018-01-23,0.0011275951620357595
2018-01-24,-0.002347767865985223
2018-01-25,-0.0013580320253572648
2018-01-29,-0.006857007942648019
2018-01-30,-0.012207638268132258
2018-01-31,-0.007925711965643425
2018-02-01,0.0016040551217891452
2018-02-02,-0.016405051846026066
2018-02-05,-0.011767599040747805
2018-02-06,-0.012888948233912456
2018-02-07,0.01071941399949892
2018-02-08,0.006354850172157529
2018-02-09,0.007727308950738315
2018-02-12,0.00453220633900903
2018-02-14,0.001496268714979467
2018-02-15,0.0003009316162187797
2018-02-16,-0.010611089858207648
2018-02-19,-0.002223471220462954
2018-02-20,-0.0016413155913221514
2018-02-21,0.0008561596919993521
2018-02-22,-0.0015088940175320648
2018-02-23,0.010818994509918394
2018-02-26,0.009396778212789515
2018-02-27,-0.002391999239757136
2018-02-28,-0.002133347744991658
2018-03-01,-0.0010906050463670822
2018-03-05,-0.0009686258721087922
2018-03-06,-0.008276401278868849
2018-03-07,-0.013975075899905338
2018-03-08,0.002108859637939748
2018-03-09,-0.0008245487640943007
2018-03-12,-0.0007035943288949939
2018-03-13,0.0065751046150050105
2018-03-14,0.005140443112005407
2018-03-15,0.0016879354155957757
2018-03-16,-0.0038235970385572166
2018-03-19,-0.010926803842334985
2018-03-20,0.00344508767713426
2018-03-21,-0.002540083687972785
2018-03-22,-0.007757503687952384
2018-03-23,-0.011227868695471115
2018-03-26,0.006970708817178543
2018-03-27,0.005882391587823391
2018-03-28,-0.011421138312475963
2018-04-02,0.015107643526888731
2018-04-03,0.004433368790858348
2018-04-04,0.0010365961919071858
2018-04-05,0.008273285756049109
2018-04-06,0.005030920565357646
2018-04-09,0.010424462420240624
2018-04-10,0.0023249165807145374
2018-04-11,0.0032890554678944037
2018-04-12,0.003374228367945631
2018-04-13,0.0028592832051598017
2018-04-16,0.0045359450101907116
2018-04-17,0.0015003690757893313
2018-04-18,-0.0006127824014228482
2018-04-19,0.003156344258011222
2018-04-20,0.0009051063092957894
2018-04-23,0.0037396910044569954
2018-04-24,0.0006761736892621868
2018-04-25,-0.0068388634872211616
2018-04-26,0.0013751095284900787
2018-04-27,-9.452862415716156e-05
2018-04-30,-4.3966371054162635e-05
2018-05-02,-0.005439595423937943
2018-05-03,-0.00868190928041761
2018-05-04,0.0002665275790284373
2018-05-07,0.006479697658829759
2018-05-08,-0.0045839404372732895
2018-05-09,0.0030156306989497406
2018-05-10,0.0020033038923947337
2018-05-11,-0.003314182173466475
2018-05-14,-0.00734477612814674
2018-05-15,-0.0012104391397390977
2018-05-16,-0.00015043110372313075
2018-05-17,8.08565063699874e-05
2018-05-18,-0.003798427241997932
2018-05-21,-0.007572576774822909
2018-05-22,0.003816937932823651
2018-05-23,0.0010392242800900053
2018-05-24,0.0016839467136376173
2018-05-25,3.929172610272252e-05
2018-05-28,0.01162565701030484
2018-05-29,0.004231082051448277
2018-05-30,-0.004481710419015132
2018-05-31,-0.005443309733141577
2018-06-01,-0.005984834597403315
2018-06-04,-0.00996949824477289
2018-06-05,-0.010204039723552714
2018-06-06,0.006752662538467852
2018-06-07,0.009536317883745241
2018-06-08,0.0057026071582196745
2018-06-11,0.0028775540640310206
2018-06-12,0.005092212360811139
2018-06-13,-0.0023963157001176327
2018-06-14,0.0023843890247607705
2018-06-15,-0.0034419983045238856
2018-06-18,-0.00895727126567206
2018-06-19,-0.003400441763447758
2018-06-20,-0.0035644054551939286
2018-06-21,-0.00921502681558308
2018-06-22,0.002087554081672611
2018-06-25,-0.00018171360673598915
2018-06-26,-0.01009143800942807
2018-06-27,-0.0033957769264447925
2018-06-28,-0.008261587648541081
2018-06-29,0.009074915043491786
2018-07-02,-0.004904845434764
2018-07-03,0.005813647275890483
2018-07-04,0.007480127551035075
2018-07-05,-0.0022747991452535367
2018-07-06,0.0025905059460787578
2018-07-09,0.00429265966684225
2018-07-10,0.0035347342839516503
2018-07-11,-0.004184823901204895
2018-07-12,-0.002788399154732811
2018-07-13,-0.003552570818460983
2018-07-16,-0.011793429075763064
2018-07-17,0.004021082465625454
2018-07-18,-0.009048789163541172
2018-07-19,-0.006663648868138229
2018-07-20,0.0018888111683949902
2018-07-23,0.007166354986735421
2018-07-24,0.00830746715676749
2018-07-25,0.0036972934498992
2018-07-26,0.004778218946985579
2018-07-27,0.0057419715587155844
2018-07-30,0.004746027758252778
2018-07-31,-0.00010877442971536203
2018-08-01,-0.0008690182198235833
2018-08-02,0.000495500686534182
2018-08-03,0.002459663940246844
2018-08-06,0.0035836959486161735
2018-08-07,-0.0006984447577809911
2018-08-08,0.0020180903371431105
2018-08-09,0.0011002980695798894
2018-08-10,-0.0007083341659152115
2018-08-13,-0.00336223559810789
2018-08-14,-0.0012836355351031291
2018-08-16,-0.0028410612902288386
2018-08-17,0.003786348582709327
2018-08-20,0.003811771882639635
2018-08-21,0.003796532407432839
2018-08-23,0.003988352079694516
